Fecha,Ventas,Inversion_Marketing,Region
2026-01-01,1500,200,Norte
2026-01-02,1750,250,Sur
2026-01-03,1200,150,Este
2026-01-04,1900,300,Oeste
2026-01-05,2100,350,Norte
2026-01-06,1600,200,Sur
2026-01-07,1450,180,Este
2026-01-08,2300,400,Oeste
2026-01-09,1800,250,Norte
2026-01-10,2050,300,Sur
2026-01-11,1300,150,Este
2026-01-12,2500,450,Oeste
2026-01-13,1700,220,Norte
2026-01-14,1950,280,Sur
2026-01-15,1150,140,Este
2026-01-16,2200,380,Oeste
2026-01-17,1650,210,Norte
2026-01-18,1850,260,Sur
2026-01-19,1250,160,Este
2026-01-20,2400,420,Oeste
2026-01-21,1550,190,Norte
2026-01-22,2000,310,Sur
2026-01-23,1350,170,Este
2026-01-24,2600,480,Oeste
2026-01-25,1750,230,Norte
2026-01-26,1900,270,Sur
2026-01-27,1100,130,Este
2026-01-28,2150,360,Oeste
2026-01-29,1400,180,Norte
2026-01-30,2250,390,Sur
